id,frame,x,y,z
0,1874,115.456951785905,177.390506479391,169.8933411602
1,622,178.475372493505,73.48719822583,92.1147013920212
2,2146,210.563950991757,118.191633119402,70.4948541461878
3,1281,118.593751154844,177.231484450169,170.877251343773
4,1787,103.716412852705,141.590553473103,225.445796619131
5,1073,149.306054210705,183.459533265983,147.379289014899
6,487,119.091503260834,109.437344826517,237.440467993814
7,2206,189.430109351163,26.4369675723183,3.16686609666511
8,967,174.04381251279,145.742133669772,160.42219985443
9,2255,128.250782598234,33.0503631190025,45.0061032849531
10,2071,107.789171937819,170.81799207177,177.407604607261
11,923,180.960375929118,71.1601093299017,92.060080712748
12,2222,63.0286129401865,99.1219422315534,107.738751140035
13,1931,45.5479023932372,137.180950806883,73.5533798402079
14,80,211.646345315548,109.076378713241,68.6162644799946
15,222,209.004638493285,70.0097547140671,32.0122915554222
16,1910,70.4735614131485,63.5346136769215,72.1900107670269
17,2168,119.943016907611,117.474206345272,243.497795561447
18,1452,142.564053742006,62.948405543581,131.903358946879
19,1657,112.610921163868,164.996662650096,184.452567050382
20,2197,208.381388551221,74.0508727779871,44.3084538874404
21,719,63.0786597185625,216.416984415023,14.9454868780053
22,1582,51.1696503535672,71.4743855799445,47.0655589622377
23,1605,208.976837093247,131.425145742603,87.1910529103811
24,949,88.7551327783529,80.0597465914439,134.19702958451
25,1681,186.356138898801,36.8627265868705,3.36097150357294
26,756,25.3049964607037,106.200729764722,19.0391772317438
27,1972,172.951461329568,56.0716028561555,79.3959315427497
28,1718,96.6166625492971,144.817973579792,203.392128034488
29,1524,158.680229197474,50.3234531421545,72.9126367018726
30,2213,208.310008517093,134.020080429964,83.5433347092262
31,1343,216.546165259405,79.2459225400142,45.4207282731343
32,2281,171.590350886013,97.1299413389325,161.584866670048
33,993,190.103832308333,113.676867147897,131.093028030933
34,1544,213.806431073516,117.113790183818,73.4737957970358
35,829,104.255224636749,74.8991174379085,145.837951298769
36,1903,42.8724891679371,127.022929205299,84.8303651092575
37,1545,137.777420923881,180.122342094015,160.612992121583
38,1360,108.300958101125,111.457714371297,232.52723872263
39,2443,104.640332917754,120.039183668133,226.891499055164
40,2408,136.41191014157,176.295127997064,157.707685432661
41,2095,72.7770276748922,29.4588210891322,0.190798152628222
42,1391,73.5723327598828,24.6306053184457,4.25936105271734
43,1501,73.5677226837121,29.3470609310626,6.21796236853325
44,1259,150.66342313506,42.6078538460346,62.7573726014267
45,158,171.334735025492,61.0281644220978,86.7606824308326
46,2313,160.483813593832,103.22396688883,194.035102765356
47,730,215.702417651557,101.045702570231,62.105895437214
48,1181,102.343046930881,113.368568943687,224.419038100509
49,1217,158.727068135792,132.969239309994,218.809830805575
50,1730,167.570402838193,126.993048747337,183.115401936925
51,100,113.361208302439,169.767647461318,174.762324287407
52,360,116.212658603222,105.007766806064,234.618186652983
53,1146,110.589387098341,148.761054282466,220.018634441437
54,280,114.489490456156,57.0107289778861,101.4422814512
55,257,149.60426447644,146.390118339452,208.037206519124
56,6,117.051559851334,29.3904753101714,43.1094947508511
57,1382,123.718321243851,156.397497514079,210.126124276841
58,2371,104.194075298277,164.489355213152,185.532697458591
59,1399,171.504868593901,153.561553910075,162.819252344475
60,1978,215.633594510402,96.0220762259346,55.6730066858342
61,237,163.49948275962,153.931747102256,165.970809907484
62,2004,209.489482543559,62.6201837800635,31.2714633183772
63,968,106.877573471105,57.9296153136258,97.8604610972892
64,811,218.720834247666,91.4083346368785,55.2802222428129
65,1229,111.954142666133,134.555178624288,246.966719470996
66,2076,100.467504353552,161.745877225325,185.304695551647
67,151,103.367158895907,129.898089799283,232.111923598857
68,1823,201.808482284513,48.4109775806715,16.3988075861065
69,675,106.036247241746,143.833603140575,221.865256228146
70,426,111.176148776883,56.4285908147426,103.17761134955
71,878,46.704081709051,189.088747580952,35.759885646441
72,10,170.610527205926,90.7028564657975,154.687668927903
73,1932,140.230098374793,178.212926800048,150.525559451129
74,209,200.778689189571,150.504498511551,96.334139332767
75,1747,106.116684160601,30.5640906374688,30.0387632224883
76,691,213.061812523737,114.470672660586,67.4483861415273
77,206,155.699216595067,70.4268309452208,136.569376114611
78,979,78.3824650621075,31.0251800523451,5.60068918120719
79,701,112.356245716931,114.278064872245,227.566745534875
80,2309,125.929569803494,178.338441670338,162.344511687539
81,2125,21.2183511840549,114.990829257554,12.2310210451283
82,87,213.675892074484,93.077110223124,50.8125572308841
83,1671,195.538034013757,161.164190265694,107.399817170496
84,1929,139.976096513717,121.091315954312,254.076997597546
85,970,216.883296280583,105.550066654671,67.4288230427694
86,1689,103.501397745607,158.842562123885,188.808829174441
87,1912,95.0298305547579,58.7441957975765,91.2314758188598
88,2346,209.994142150185,133.167082160473,90.9120213439096
89,1410,143.137118221201,67.4624821125942,126.081525325867
90,300,196.512506358335,38.9185567120863,12.1202730282822
91,1353,152.928977533361,110.145129295662,222.178117705639
92,1264,133.94769913175,181.051594001251,164.196739125441
93,1910,144.976593906345,182.644465530693,149.971428199472
94,2429,157.115055029362,179.845060830955,141.304598567625
95,2429,143.259811989434,37.9490451339678,56.3840077719957
96,250,122.893278085401,108.664596636564,238.269002941266
97,1113,108.309105476176,123.382896648048,235.015632898444
98,873,109.975530251042,134.00945647993,228.044592348542
99,1112,212.895424310248,64.3667550371601,31.2549474873618
100,1661,110.330379215077,124.553844536014,238.468835777501
101,1459,124.317932194387,179.525461857299,164.64756554284
102,1751,115.493772342154,173.591374377324,175.817020128906
103,2164,142.360997894107,81.8257608016132,176.486197547432
104,366,209.134755327154,62.2281095143434,29.2924667130051
105,1611,206.362825458887,64.2004021138656,31.1330301847219
106,1799,152.782802898512,91.9903050785395,185.163821429993
107,1546,17.1105577164899,107.19236979098,17.1879093405219
108,1496,186.26419368265,136.253621342197,144.093985774686
109,1358,113.392948089935,72.9873538074573,148.048361034598
110,389,106.875288158266,136.237971359655,230.352003432161
111,1364,172.584775054235,94.5091274215282,154.330263106344
112,484,207.993927692024,144.81367838892,98.1351864924019
113,1142,94.0807046676015,57.262701364754,87.8328131822211
114,2050,165.084158967139,159.238265838803,171.494774935999
115,323,136.354546892151,115.321083522933,250.430706959865
116,2467,134.53742174823,165.287611138899,194.210920962613
117,604,197.897684807546,38.2758689290049,11.2931524786728
118,1113,104.684166252251,118.299627931052,220.023842973156
119,248,214.93338781832,130.388042099562,85.8871356541258
120,2065,98.5381553234497,23.0429768548113,23.5353014643232
121,1674,137.14788660695,155.377235584946,213.185474835432
122,359,117.351657756934,159.328055006421,215.751428499184
123,1962,29.4012435773005,103.834827087254,26.6235436131384
124,1776,136.079165402455,61.0538087525953,120.063338960908
125,1653,145.548582733389,183.713867097031,147.527605927145
126,266,186.10162093346,123.2335123165,137.640439406033
127,1607,201.823154677374,48.5777292477218,20.758631978462
128,51,176.549489316455,110.157938668245,169.943117754998
129,500,183.305637125994,145.63601432332,151.105002235857
130,2127,61.7940434633051,99.5683272273724,105.812372758373
131,1314,128.568269979488,161.182682454628,203.833044657731
132,1261,198.93028222604,48.7478569797222,20.3453630876415
133,1618,98.7677754344142,132.015336755547,213.723895184673
134,1930,117.645901360643,109.163222937475,236.264900332922
135,1134,211.038029084389,114.159350229291,70.7373537742787
136,1506,110.818267130685,167.452269703684,174.500265719927
137,1878,150.663257747805,147.665067155297,205.137489855885
138,2484,148.580592555611,157.554967821026,206.24472483121
139,2091,100.996904123968,146.075186031165,195.870610211006
140,1751,110.790307300365,123.90945704242,238.385686382708
141,1825,96.6225971630078,133.072841079638,210.224350558739
142,1288,106.67339095132,78.3091863620061,150.226176576618
143,884,64.6649107543342,63.7846643481351,58.2282202230812
144,425,189.530274710463,160.058733698255,112.156369702681
145,1133,192.17241379826,37.7086732022358,11.9326754127992
146,1134,216.409504587017,114.932698073932,72.9821535565691
147,2390,108.978168780018,148.511261322388,220.068104303311
148,1575,192.488019823114,40.4827562439552,12.080555968345
149,2232,111.648208011038,171.253569769161,179.719983036642
150,1886,152.960578723849,164.941821479039,185.301390406401
151,1894,40.9521137634269,84.4933974529523,39.5355401873341
152,1700,208.720131890021,80.2211182285744,42.4583861321129
153,1795,202.517783266302,61.2085245490845,26.7148039496189
154,237,86.2059928135472,22.8063997314855,11.5046747253684
155,2319,154.891530134959,181.410437319144,143.139786622872
156,1263,127.97331115796,181.144618927416,163.735753929082
157,323,101.432243019917,132.48915336596,212.605290252682
158,2119,96.7770581771056,119.923875882435,221.042511922573
159,106,213.282397606225,108.840974043564,71.2695302650563
160,341,57.0135571441735,70.4297871595372,54.7977662911647
161,1937,134.927932644539,112.787980245495,248.319227168653
162,2228,148.985230616506,164.493564913072,185.117872641366
163,1918,106.572612733915,25.5730088371306,22.0093933231004
164,2097,136.678010440082,176.904686800342,155.227731195184
165,2227,83.0903914080313,22.6943958428974,6.90075038918236
166,1873,173.109710493546,59.1583410049859,83.4700397643392
167,378,119.70196738773,173.684269708808,173.376184730002
168,187,102.131167912386,159.04972568918,191.150600183571
169,1533,191.660326136931,95.8015667448871,118.611143582127
170,63,22.1653103073245,102.559277992963,15.1792042230998
