"id","frame","x [nm]","y [nm]","z [nm]","uncertainty [nm]"
1.0,1.0,4839.967314997221,3039.035409511549,-348.2184667009258,612.6600011086921
2.0,1.0,6709.012103010631,4041.2532352527833,6.157792214607184,446.11639463348865
3.0,2.0,4849.698926996876,3016.7183173339663,-386.1106692340912,1243.8909843620265
4.0,2.0,6532.639848268323,3905.776180643534,-183.05363174474383,589.5350722511047
5.0,3.0,2778.4242401953366,7261.368922635324,-367.02137435550526,1985.7931620204188
6.0,3.0,2860.671907276411,6816.731927790566,-100.28734293950588,810.4724234574211
7.0,3.0,4758.416109623027,3206.7625635633694,-497.25702534295937,2301.6220169283392
8.0,3.0,8367.472927898478,4253.485034020815,-104.09322060149842,152.32089825125237
9.0,4.0,2568.348546522684,7666.754417045339,91.69921380402086,308.43069838072137
10.0,4.0,2865.9620215618083,6812.424887415318,-114.31480967850123,692.3716778510093
11.0,4.0,4396.538228108177,5042.5458696021415,-43.274719092820995,373.33537977987476
12.0,5.0,2434.3821887146905,8380.540223353568,286.72782810131787,792.6925820920336
13.0,5.0,2715.424461934348,7631.734090929557,280.4250075482717,976.3269401521447
14.0,5.0,3060.663786316834,6169.641377784437,-9.42234717853383,430.226256049975
15.0,5.0,4433.7348433204625,3907.6962044079096,-310.52021702518084,802.5986153932994
16.0,6.0,677.8963738292192,1817.1344241576871,155.92466518523236,492.49919910787315
17.0,6.0,2581.213595836025,7655.985632294022,190.7897561751177,596.0586160424289
18.0,6.0,3127.232014490653,6099.5715611663045,-32.604274175676686,327.7795553333831
19.0,6.0,5447.148741321098,2487.932938957426,-405.7447779211164,1182.111135386527
20.0,6.0,8652.10665958577,4404.893626880355,-182.2655850541696,391.4928331799808
21.0,7.0,2394.9816947231293,8323.283088866778,-281.2780122483219,1547.0155735000665
22.0,7.0,5460.114799941941,2141.796165239993,-381.65650579857396,1222.7506777478488
23.0,7.0,6117.785221624759,3867.6383426218,-132.72160945998505,564.6033043632317
24.0,8.0,2408.1075973668235,8403.230045857388,-153.84754625285998,430.04631898645283
25.0,8.0,2241.4863954042617,8343.556427537593,-13.947348791849095,9.08883603562756
26.0,8.0,5477.753388163763,2073.267942582561,-284.34536406451116,548.6761208620455
27.0,8.0,6113.190598516809,3871.185368271781,-102.65975405490592,596.3041132549554
28.0,9.0,2516.4867404442266,7474.765249554898,-76.3231006136872,336.8272714646628
29.0,9.0,3316.559496601219,5734.4187224391735,-153.05586265843357,1842.028125319003
30.0,9.0,4023.042643234928,5191.114409765552,97.93878639206845,1606.9610973222584
31.0,9.0,5678.819897105097,708.9235710402497,-732.4971173931997,3663.83819388541
32.0,10.0,2402.309672684547,8364.986121971462,-72.00473773413992,302.7134689755012
33.0,10.0,2726.281873420583,7000.188266436071,-74.93033183470615,378.7243303614898
34.0,11.0,2429.5703541989487,9629.53646110245,-57.05822670420274,654.806665410442
35.0,11.0,3990.215684869243,5339.4363445029685,-24.563501541590977,649.3449333079024
36.0,12.0,2475.1558060280095,9621.179867194222,-171.9296670625237,615.5349606454796
37.0,12.0,2570.041775218552,7443.713869659681,-33.663687535514505,570.1721175626054
38.0,12.0,4094.490983718842,5190.949639619674,36.88348478178795,122.10853490780787
39.0,12.0,4998.382064048486,3074.368078351194,-588.4546082925415,2338.2128195719897
40.0,12.0,5519.856104444933,2180.830253223684,-634.1191391826748,3314.999749061158
41.0,12.0,5150.026472449434,2815.311105221167,-675.9713906184661,4506.086047001866
42.0,13.0,1841.9039812124292,2731.865828972396,47.10843487799491,314.91869257015173
43.0,13.0,2532.4560040202045,7467.538325513304,-155.2132213587146,674.6124088376984
44.0,13.0,4875.557647854014,3681.9365544278216,-297.6711106603635,1339.8708872129323
45.0,13.0,5566.121334319133,1519.292814922222,-492.56541270359173,1667.7370961369593
46.0,14.0,2367.2743928378513,8644.880193892683,-129.0181684934519,636.3579127085859
47.0,14.0,2564.667819413014,7492.917302570363,6.618361238456558,826.0875455068806
48.0,14.0,3628.8867456819794,5730.180060476613,-9.26886795238984,446.50444700383764
49.0,14.0,4882.473978388138,2984.9271014391365,-432.6550875394441,1209.1467654815551
50.0,14.0,6383.426694599217,3866.2707830341215,195.96605974658155,796.0973844879978
51.0,14.0,8289.419975601742,4233.142235146326,-237.89647278509804,662.9684067661753
52.0,15.0,2040.0910704566445,9489.40153245157,103.56535846372432,299.3497110037882
53.0,15.0,2577.024158409685,7465.404709931822,14.004672071740996,776.2684506360735
54.0,15.0,8101.321203708862,4161.059636157234,-17.961479329222225,417.6751538943652
55.0,16.0,5773.803302895475,1054.5963222593452,44.11140418747573,479.47913999985104
56.0,16.0,8120.7889118776575,4140.732950344676,28.726942022779497,447.32004650118307
57.0,17.0,735.9640716344738,1786.9141549933395,86.4816315699354,290.6136917326591
58.0,17.0,3343.0640751504716,5745.632829364469,-33.97122142240503,344.12462936134915
59.0,17.0,5597.964724246343,1383.5031874518781,-805.1064829844381,4885.893971743051
60.0,17.0,5569.500865345717,2340.794717174738,-227.154658240465,498.7812574648593
61.0,17.0,7566.394453099815,4025.400640143182,249.44991217096378,1822.1337311572847
62.0,18.0,724.7591373067622,1799.8650959520614,110.88081786906724,518.6585028617743
63.0,18.0,3350.4033241879733,5734.418875081265,-41.09484662735471,492.1949634089501
64.0,18.0,9285.61624743878,4773.505775048967,162.74220408817789,1459.5340406624855
65.0,19.0,3346.268422474982,5712.583320822041,-30.391350814603975,422.84642913358516
66.0,19.0,8183.281188612995,4219.911743340377,-72.64048802340483,594.9104859729581
67.0,19.0,9205.97619770211,4753.87681197458,32.9341183698331,676.6534111444172
68.0,20.0,5279.612172376473,4213.449726266371,-24.21485255170939,485.06717436213745
69.0,20.0,6490.166419749162,3971.81407100624,10.057677927895643,176.11711666076872
70.0,20.0,8136.961714935545,4175.154979902049,8.36635801582855,402.790107545982
71.0,21.0,2422.7209242251038,9153.561979380976,-220.53581172798857,574.0310660408352
72.0,21.0,5324.522430082414,4245.648685806016,14.051912904339208,433.3165476827168
73.0,22.0,5484.8432782883,1163.8306221714715,18.53531848166035,48.53674361522227
74.0,23.0,5555.814615081304,2583.340423994604,-385.6795955713855,976.3278087397877
75.0,23.0,5442.5472553360105,3827.3080957874336,-0.7834881803278982,573.7952791767082
76.0,23.0,5546.280541927621,1874.0599092000323,-501.86553987387316,1546.9611023344958
77.0,23.0,8690.088933537065,4413.866324139345,-202.6830763590548,736.9942604373492
78.0,24.0,5595.261796818559,2565.219091648478,-669.389912588865,2711.228958355137
79.0,24.0,8688.156466919037,4422.408269074093,-227.4823913913439,793.3878434214016
80.0,25.0,555.1557059957319,1559.4748455817078,1.1401706152558055,353.0224600799819
81.0,25.0,2340.00070821989,2984.872741349617,155.5094355405849,459.6088742979881
82.0,25.0,5587.4681536481,2073.808153014924,-400.4561173516467,859.0014991674544
83.0,25.0,8088.879953497335,4137.301437060963,135.7379458583539,948.8759442713742
84.0,26.0,2484.128562385125,9642.4850217814,-207.94654401296125,636.3960167151055
85.0,26.0,3339.777170411617,6050.884220406861,-43.57918006847234,26.974223812877433
86.0,26.0,3008.8528836762534,6294.179173590473,28.241261303919973,20.696422435896338
87.0,26.0,3156.9769560294185,6377.773885721086,-70.2559995196471,170.45020462797572
88.0,26.0,6156.957379278612,3938.445940753525,-19.46542329260681,566.6224332031072
89.0,26.0,8229.665392201143,4161.6810638283205,231.10023399086862,1468.3321475204639
90.0,27.0,3056.580342110156,6455.9941072855,-130.52704940883802,1450.1430830884576
91.0,27.0,5349.053902566428,4024.4453159342875,23.175297217932275,487.8241734225229
92.0,27.0,5758.290863050146,1696.6941175043555,-753.1410800187081,3759.2188178672714
93.0,27.0,8749.326347962922,4505.182845383469,-263.3654938798903,1155.251895925203
94.0,28.0,998.1892175209242,2383.651843280653,136.8428257103516,508.5249599426314
95.0,28.0,2462.250103590598,9555.895665764641,-256.2891724109654,641.9628660624429
96.0,28.0,3008.348744425006,6526.833570321747,-82.24520845148544,1091.8697120616644
97.0,28.0,3400.5776420552816,6034.861052330505,5.410719200234233,925.1683151228258
98.0,28.0,5211.633739157896,3810.729556865753,-27.6688710701878,478.4920102495826
99.0,28.0,8653.29348301728,4392.32585921264,-161.8127623988611,378.98866224470305
100.0,29.0,940.300107680082,2357.06123088734,130.2711968937772,365.694385730554
101.0,29.0,2940.407683841224,6637.620052720997,-15.064604782915668,523.7414190057734
102.0,29.0,3143.163096319608,6277.443168434302,-60.97523178976775,602.4356620625387
103.0,29.0,7764.725520230739,4073.387816212103,281.0064064628952,1485.6950824511484
104.0,29.0,8988.735711340967,4653.5729310269035,210.60408403983976,1082.729007344351
105.0,30.0,2367.0477850011866,8451.324642884301,-458.15734291416624,1276.374187716574
106.0,30.0,3174.940640208181,6043.376300481751,57.08610827460413,990.1552483014775
107.0,30.0,2949.326879487426,6650.732652052758,-28.359373464925568,918.0539621992076
108.0,30.0,3095.2785577350933,6270.887349273658,-150.68899841339095,2868.010588857419
109.0,30.0,3565.361058910821,3585.953622741808,61.4479152813142,409.2090696150839
110.0,31.0,2398.776079489102,8539.333521508102,327.03336747601975,953.3263718373904
111.0,31.0,2491.1796080653908,9322.420568610798,-394.5523022517904,803.4262608476096
112.0,31.0,4267.520103429698,4012.954467070851,-513.1644136722618,1322.2469795314
113.0,31.0,4826.02675938785,3708.067548858663,-50.20226178333512,296.2561270925922
114.0,31.0,4832.3576630758025,3097.9061682730885,-153.4903768844093,529.0130660697918
115.0,31.0,5509.792656030173,2327.128016835611,-623.0036358240092,2640.524035376843
116.0,31.0,5420.0748804643945,2533.1060627889,-475.88273230615704,1556.4395808899046
117.0,31.0,6830.347803837947,3904.2345819218453,465.75081119304537,1748.3644681530325
118.0,31.0,7178.31474772719,3976.8986145993304,-325.71377430935473,1580.2898963492908
119.0,31.0,9120.930539941124,4688.971491021444,8.307216471365791,582.69731349776
120.0,32.0,3480.002253208929,5339.317651397631,-145.79852926856768,449.199121625505
121.0,32.0,3552.9693037065554,3549.3693401589553,7.256102326183259,426.8814382444061
122.0,32.0,6265.420201214575,3932.3236097276317,99.10753892530971,931.5273924300468
123.0,32.0,9124.83640599219,4675.512968915976,28.020502265576717,516.2890918618364
124.0,33.0,2745.8122120571234,7032.003632131829,-306.91907587126,1996.5218697478563
125.0,33.0,3527.614176281449,5416.434589936643,-26.089362561019808,351.74440322875665
126.0,33.0,5079.727796169772,4612.671904515606,-37.808344846600164,404.898972269167
127.0,33.0,5248.079936830526,2562.7396848922285,-396.4026345352369,1244.4421706447824
128.0,33.0,5268.567394464681,3031.8586174452894,-391.9060302490637,816.352713036664
129.0,33.0,6167.734186665504,3946.8940227348257,37.56954401649958,413.84278213358715
130.0,33.0,7588.8960627652705,4056.1244370997447,311.96821716185457,1077.7850264212473
131.0,34.0,2956.215334921564,6593.337329635175,-74.53273513530326,1481.35176555416
132.0,34.0,3746.425339775571,3581.6194900104647,-85.21117904820592,8.68996241697937
133.0,35.0,7886.180815930862,4041.941113137798,-36.35064436750184,281.12784910568894
